product_id,brand_name,ingredient_type,category,sub_category,form_factor,serving_size,serving_unit,servings_total,calories,protein,carbs,sugars,fats,Trans Fat,Saturated Fat,Dietary Fiber,ingredients,intake_timing,product_name,sensory_tags,functional_tags,feature_tags,allergens,
ANIMAL_MEAL_CHOCOLATE,ANIMAL,주원료,게이너,탄수화물/BCAA/WPC,파우더,122,g,19,505,46,49,14,14,3.5,null,4,"[ { ""ingredient"": ""Animal Meal Protein Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""pea protein isolate"", ""instant egg white powder"", ""dried whole egg protein"", ""beef protein isolate"" ] }, { ""ingredient"": ""Animal Meal Carb Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""sweet potato powder"", ""pea starch"", ""tapioca dextrose"", ""rolled oats"" ] }, { ""ingredient"": ""Amino Acids"", ""amount"": null, ""unit"": null, ""details"": { ""Alanine"": { ""amount"": 2610, ""unit"": ""mg"" }, ""Arginine"": { ""amount"": 3040, ""unit"": ""mg"" }, ""Aspartic Acid"": { ""amount"": 4780, ""unit"": ""mg"" }, ""Cystine"": { ""amount"": 710, ""unit"": ""mg"" }, ""Glutamic Acid"": { ""amount"": 5900, ""unit"": ""mg"" }, ""Glycine"": { ""amount"": 3190, ""unit"": ""mg"" }, ""Hydroxyproline"": { ""amount"": 990, ""unit"": ""mg"" }, ""Histidine"": { ""amount"": 860, ""unit"": ""mg"" }, ""Isoleucine"": { ""amount"": 1880, ""unit"": ""mg"" }, ""Leucine"": { ""amount"": 3240, ""unit"": ""mg"" }, ""Lysine"": { ""amount"": 2960, ""unit"": ""mg"" }, ""Methionine"": { ""amount"": 870, ""unit"": ""mg"" }, ""Proline"": { ""amount"": 2040, ""unit"": ""mg"" }, ""Phenylalanine"": { ""amount"": 2330, ""unit"": ""mg"" }, ""Serine"": { ""amount"": 2930, ""unit"": ""mg"" }, ""Threonine"": { ""amount"": 1550, ""unit"": ""mg"" }, ""Tryptophan"": { ""amount"": 440, ""unit"": ""mg"" }, ""Tyrosine"": { ""amount"": 820, ""unit"": ""mg"" }, ""Valine"": { ""amount"": 2980, ""unit"": ""mg"" }, ""Ornithine"": { ""amount"": 20, ""unit"": ""mg"" } } } ]",['운동 후'],애니멀 밀 초콜렛,"[ ""단맛"", ""초콜릿"", ""초콜렛맛"" ]","[ ""식사 대용"", ""지속적인 영양 공급"", ""근육 성장"", ""벌크업"" ]","[ ""홀푸드 기반 단백질 (소고기, 계란 등)"", ""유청 단백질 미포함 (No Whey)"", ""복합 탄수화물 함유 (귀리, 고구마, 완두콩 등)"", ""소화 효소 함유"" ]","[ ""계란"", ""우유"", ""대두"", ""땅콩"", ""견과류"", ""생선"", ""조개류"", ""밀"" ]",
CBUM_MASSGAINER_CHOCOLATE,RAW Nutrition,주원료,게이너,탄수화물/글루타민/크레아틴/WPC/WPI/카제인,파우더,275,g,20,1070,53,195,16,6,null,2.5,1,"[ { ""ingredient"": ""Carbohydrate Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Maltodextrin"", ""Carb10 (Legume-based starch derived from pisum sativum)"", ""Sweet Potato Starch"", ""Oat Flour"", ""Quinoa Powder"", ""Corn Syrup Solids"" ] }, { ""ingredient"": ""Dairy Protein Blend"", ""amount"": 53, ""unit"": ""g"", ""details"": [ ""Whey Protein Concentrate"", ""Whey Protein Isolate"", ""Micellar Casein"" ] }, { ""ingredient"": ""L-Glutamine"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""Creatine Monohydrate"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""Cocoa Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""MCT70 Powder"", ""amount"": null, ""unit"": null, ""details"": ""Medium Chain Triglycerides (from Coconut)"" } ]",['운동 후'],CBUM 매스 게이너 초콜렛,"[ ""단맛"", ""초콜릿"", ""초콜렛맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""고칼로리 (1070kcal)"", ""고단백 (53g)"", ""복합 탄수화물"", ""복합 단백질 블렌드"", ""크레아틴 함유"" ]","[ ""우유"", ""대두"", ""계란"", ""생선"", ""조개류"", ""견과류"", ""땅콩"", ""밀"", ""참깨"" ]",
CBUM_MASSGAINER_COOKIESCREAM,RAW Nutrition,주원료,게이너,탄수화물/글루타민/크레아틴/WPC/WPI/카제인,파우더,275,g,20,1070,53,196,16,6,null,2,null,"[ { ""ingredient"": ""Carbohydrate Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Maltodextrin"", ""Carb10 (Legume-based starch derived from pisum sativum)"", ""Sweet Potato Starch"", ""Oat Flour"", ""Quinoa Powder"", ""Corn Syrup Solids"" ] }, { ""ingredient"": ""Dairy Protein Blend"", ""amount"": 53, ""unit"": ""g"", ""details"": [ ""Whey Protein Concentrate"", ""Whey Protein Isolate"", ""Micellar Casein"" ] }, { ""ingredient"": ""L-Glutamine"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""Creatine Monohydrate"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""Cocoa Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""MCT70 Powder"", ""amount"": null, ""unit"": null, ""details"": ""Medium Chain Triglycerides (from Coconut)"" } ]",['운동 후'],CBUM 매스 게이너 쿠키앤크림,"[ ""단맛"", ""베이커리"", ""쿠키앤크림맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""고칼로리 (1070kcal)"", ""고단백 (53g)"", ""복합 탄수화물"", ""복합 단백질 블렌드"", ""크레아틴 함유"" ]","[ ""우유"", ""대두"", ""계란"", ""생선"", ""조개류"", ""견과류"", ""땅콩"", ""밀"", ""참깨"" ]",
CBUM_MASSGAINER_VANILLA,RAW Nutrition,주원료,게이너,탄수화물/글루타민/크레아틴/WPC/WPI/카제인,파우더,275,g,20,1070,53,196,16,5,null,2,null,"[ { ""ingredient"": ""Carbohydrate Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Maltodextrin"", ""Carb10 (Legume-based starch derived from pisum sativum)"", ""Sweet Potato Starch"", ""Oat Flour"", ""Quinoa Powder"", ""Corn Syrup Solids"" ] }, { ""ingredient"": ""Dairy Protein Blend"", ""amount"": 53, ""unit"": ""g"", ""details"": [ ""Whey Protein Concentrate"", ""Whey Protein Isolate"", ""Micellar Casein"" ] }, { ""ingredient"": ""L-Glutamine"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""Creatine Monohydrate"", ""amount"": 2500, ""unit"": ""mg"" }, { ""ingredient"": ""MCT70 Powder"", ""amount"": null, ""unit"": null, ""details"": ""Medium Chain Triglycerides (from Coconut)"" } ]",['운동 후'],CBUM 매스 게이너 바닐라,"[ ""단맛"", ""바닐라맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""고칼로리 (1070kcal)"", ""고단백 (53g)"", ""복합 탄수화물"", ""복합 단백질 블렌드"", ""크레아틴 함유"" ]","[ ""우유"", ""대두"", ""계란"", ""생선"", ""조개류"", ""견과류"", ""땅콩"", ""밀"", ""참깨"" ]",
GASPARI_REALMASS_CHOCOLATEMILKSHAKE,Gaspari Nutrition,주원료,게이너,WPC/카제인/BCAA,파우더,272,g,22,1080,50,200,15,9,null,3,1,"[ { ""ingredient"": ""Carbohydrate Complex"", ""amount"": null, ""unit"": null, ""details"": [ ""Maltodextrin"", ""Highly Branched Cyclic Dextrin (as in GlycoFuse™)"", ""Non Dairy Creamer"", ""Corn Syrup Solids"", ""Sodium Caseinate"", ""Mono & Diglycerides"", ""Sodium Citrate"", ""Fructose"" ] }, { ""ingredient"": ""Protein Matrix"", ""amount"": null, ""unit"": null, ""details"": [ ""Whey Protein Concentrate"", ""Whey Protein Hydrolysate"", ""Whey Protein Isolate"", ""Micellar Casein"", ""Milk Protein Isolate"" ] }, { ""ingredient"": ""Amino Acid Complex"", ""amount"": null, ""unit"": null, ""details"": [ ""L-Glycine"", ""Creatine Monohydrate"", ""BCAA (L-Isoleucine, L-Leucine, L-Valine)"" ] }, { ""ingredient"": ""Enzyme Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Amylase"", ""Protease"", ""Lactase"" ] } ]",['운동 후'],가스파리 리얼매스 초콜릿 밀크쉐이크,"[ ""단맛"", ""초콜릿"", ""밀크쉐이크맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""고칼로리 (1000kcal)"", ""고단백 (47g)"", ""복합 탄수화물 (GlycoFuse™)"", ""복합 단백질 블렌드"" ]","[ ""우유"", ""대두"", ""계란"", ""땅콩"", ""견과류"", ""생선"", ""조개류"" ]",1열
LABRADA_MUSCLEMASS_CHOCOLATE,Labrada,주원료,게이너,탄수화물/BCAA/WPC,파우더,341,g,16,1262,52,254,20,4.5,null,2,5,"[ { ""ingredient"": ""LeanPro® Muscle Mass Protein Blend"", ""amount"": 52, ""unit"": ""g"", ""details"": [ ""Cross Flow Ultra-Micro Filtered Whey Protein Concentrate"", ""Milk Protein Isolate (Yielding Fast Acting Whey Protein Peptides)"", ""Branched Chain Amino Acids"", ""L-Glutamine Peptides"", ""Slow Acting Casein Peptides"", ""Calcium Caseinate"", ""Egg Albumin"", ""Whey Protein Isolate"" ] }, { ""ingredient"": ""Maltodextrin"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dutched Cocoa"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""FiberSol-2 (Fiber)"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""L-Glutamine"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Creatine Monohydrate"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Vitamin & Mineral Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Vitamin A"", ""Vitamin C"", ""Vitamin D"", ""Vitamin E"", ""Niacinamide"", ""Electrolytic Iron"", ""Zinc Oxide"", ""D-Calcium Pantothenate"", ""Pyridoxine Hydrochloride"", ""Copper Gluconate"", ""Riboflavin"", ""Thiamin Mononitrate"", ""Folic Acid"", ""Potassium Iodide"", ""Cyanocobalamin"" ] } ]",['운동 후'],LABRADA 머슬매스 초콜렛,"[ ""단맛"", ""초콜릿"", ""초콜렛맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""고칼로리 (1265kcal)"", ""고단백 (52g)"", ""복합 탄수화물 (264g)"", ""크레아틴 함유"", ""비타민 및 미네랄 함유"" ]","[ ""우유"", ""계란"", ""대두"", ""땅콩"", ""견과류"", ""생선"", ""조개류"", ""밀"" ]",
MHP_UPYOURMASS_CHOCOLATE,MHP,주원료,게이너,탄수화물/BCAA/WPC/카제인/WPI/HWPI,파우더,347.5,g,16,1350,50,253,11,17,null,9,7,"[ { ""ingredient"": ""Mass Loading Matrix (MASS LOAD™ Complex)"", ""amount"": null, ""unit"": null, ""details"": { ""Complex Carbohydrate Blend"": [ ""Micronparticulated Maltodextrin"", ""Sweet Potato"", ""Oat Fiber"", ""Quinoa Powder"" ], ""Amino Acid Enhanced, Fast Acting & Sustained Release Protein Blend"": [ ""Whey Protein Concentrate"", ""Whey Protein Isolate"", ""Micellar Casein"", ""Hydrolyzed Whey Protein"", ""Milk Protein"" ], ""BCAAs"": [ ""Leucine"", ""Isoleucine"", ""Valine"" ], ""Fatty Acid Blend"": [ ""Palm Oil"", ""Flaxseed"", ""Borage Seed"", ""Medium Chain Triglyceride Powder (MCT)"", ""Glarinol Powder (CLA)"" ] } }, { ""ingredient"": ""Digestive Blend"", ""amount"": null, ""unit"": null, ""details"": [ ""Papain"", ""Bromelain"" ] }, { ""ingredient"": ""아미노산 프로필"", ""amount"": null, ""unit"": null, ""details"": { ""Leucine"": { ""amount"": null, ""unit"": ""g"" }, ""Isoleucine"": { ""amount"": null, ""unit"": ""g"" }, ""Valine"": { ""amount"": null, ""unit"": ""g"" }, ""Alanine"": { ""amount"": 2.19, ""unit"": ""g"" }, ""Aspartic Acid"": { ""amount"": 4.65, ""unit"": ""g"" }, ""Arginine"": { ""amount"": 1.49, ""unit"": ""g"" }, ""Cystine"": { ""amount"": 0.83, ""unit"": ""g"" }, ""Glycine"": { ""amount"": 0.94, ""unit"": ""g"" }, ""Glutamine & Glutamic Acid"": { ""amount"": 9.17, ""unit"": ""g"" }, ""Proline"": { ""amount"": 3.45, ""unit"": ""g"" }, ""Tyrosine"": { ""amount"": 2.53, ""unit"": ""g"" }, ""Serine"": { ""amount"": 1.73, ""unit"": ""g"" } } } ]",['운동 후'],업 유어 매스 XXXL 초콜렛,"[ ""단맛"", ""초콜릿"", ""초콜렛맛"" ]","[ ""체중 증가 지원"", ""근육 성장"", ""근회복"", ""벌크업"" ]","[ ""초고칼로리 (1350kcal)"", ""고단백 (50g)"", ""복합 단백질 블렌드"", ""복합 탄수화물 (MASS Load™)"", ""BCAA 및 EAA 함유"" ]","[ ""우유"", ""대두"", ""계란"", ""생선"", ""조개류"", ""견과류"", ""땅콩"", ""밀"", ""참깨"" ]",
REDCON_MRE_FUDGEBROWNIE,Redcon1,주원료,게이너,탄수화물/WPI/WPC,파우더,136,g,25,520,47,75,6,4,null,1,6,"[ { ""ingredient"": ""Whole Food Protein Blend"", ""amount"": 47, ""unit"": ""g"", ""details"": [ ""Beef Protein Isolate"", ""Pea Protein"", ""Brown Rice Protein"", ""Chicken Protein"", ""Egg Albumin"", ""Salmon Protein"" ] }, { ""ingredient"": ""Rolled Oats"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Medium Chain Triglyceride (MCT) Oil Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Maltodextrin"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Yam"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Sweet Potato"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Blueberry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Goji Berry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Coconut Water Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dextrose"", ""amount"": null, ""unit"": null } ]",['운동 후'],레드콘1 MRE 퍼지 브라우니,"[ ""단맛"", ""초콜릿"", ""베이커리"", ""브라우니맛"" ]","[ ""식사 대용"", ""체중 증가 지원"", ""지속적인 영양 공급"", ""벌크업"" ]","[ ""홀푸드 기반 단백질 (소고기, 연어, 닭고기, 계란 등)"", ""유청 단백질 미포함 (No Whey)"", ""복합 탄수화물 함유 (귀리, 고구마 등)"", ""MCT 오일 함유"" ]","[ ""소고기"", ""연어"", ""닭고기"", ""계란"", ""귀리"" ]",
REDCON_MRE_OATMEALCHOCOLATECHIP,Redcon1,주원료,게이너,탄수화물/WPI/WPC,파우더,130,g,25,520,47,75,7,4,null,1,5,"[ { ""ingredient"": ""Whole Food Protein Blend"", ""amount"": 47, ""unit"": ""g"", ""details"": [ ""Beef Protein Isolate"", ""Pea Protein"", ""Brown Rice Protein"", ""Chicken Protein"", ""Egg Albumin"", ""Salmon Protein"" ] }, { ""ingredient"": ""Rolled Oats"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Medium Chain Triglyceride (MCT) Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Maltodextrin"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Yam"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Sweet Potato"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Blueberry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Goji Berry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Coconut Water Powder"", ""amount"": null, ""unit"": null } ]",['운동 후'],레드콘1 MRE 오트밀초코칩,"[ ""단맛"", ""베이커리"", ""오트밀맛"", ""초코칩맛"" ]","[ ""식사 대용"", ""체중 증가 지원"", ""지속적인 영양 공급"", ""벌크업"" ]","[ ""홀푸드 기반 단백질 (소고기, 연어, 닭고기, 계란 등)"", ""유청 단백질 미포함 (No Whey)"", ""복합 탄수화물 함유 (귀리, 고구마 등)"", ""MCT 오일 함유"" ]","[ ""소고기"", ""연어"", ""닭고기"", ""계란"", ""귀리"" ]",
REDCON_MRE_PEANUTBUTTERCOOCKIES,Redcon1,주원료,게이너,탄수화물/WPI/WPC,파우더,130,g,25,530,47,75,5,4,null,null,8,"[ { ""ingredient"": ""Whole Food Protein Blend"", ""amount"": 47, ""unit"": ""g"", ""details"": [ ""Beef Protein Isolate"", ""Pea Protein"", ""Brown Rice Protein"", ""Chicken Protein"", ""Egg Albumin"", ""Salmon Protein"" ] }, { ""ingredient"": ""Rolled Oats"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Medium Chain Triglyceride (MCT) Oil Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Maltodextrin"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Yam"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Sweet Potato"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Blueberry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Goji Berry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Coconut Water Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dextrose"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Ground Cinnamon"", ""amount"": null, ""unit"": null } ]",['운동 후'],레드콘1 MRE 피넛버터쿠키,"[ ""단맛"", ""베이커리"", ""견과류"", ""땅콩버터맛"", ""쿠키맛"" ]","[ ""식사 대용"", ""체중 증가 지원"", ""지속적인 영양 공급"", ""벌크업"" ]","[ ""홀푸드 기반 단백질 (소고기, 연어, 닭고기, 계란 등)"", ""유청 단백질 미포함 (No Whey)"", ""복합 탄수화물 함유 (귀리, 고구마 등)"", ""MCT 오일 함유"" ]",,
REDCON_MRE_VANILLAMILKSHAKE,Redcon1,주원료,게이너,탄수화물/WPI/WPC,파우더,130,g,25,520,47,61,5,7,null,2,6,"[ { ""ingredient"": ""Protein Blend"", ""amount"": 47, ""unit"": ""g"", ""details"": [ ""Beef Protein Isolate (bovine)"", ""Salmon Protein (fish)"", ""Chicken Protein"", ""Egg Albumin (egg)"", ""Brown Rice Protein"", ""Pea Protein"" ] }, { ""ingredient"": ""Rolled Oats"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Yam"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Sweet Potato"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Coconut Water Powder"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Blueberry"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dehydrated Goji Fruit"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Maltodextrin"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Dextrose"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""MCT Oil"", ""amount"": null, ""unit"": null }, { ""ingredient"": ""Cinnamon"", ""amount"": null, ""unit"": null } ]",['운동 후'],레드콘1 MRE 바닐라밀크쉐이크,"[ ""단맛"", ""바닐라맛"", ""밀크쉐이크맛"" ]","[ ""식사 대용"", ""체중 증가 지원"", ""지속적인 영양 공급"", ""벌크업"" ]","[ ""홀푸드 기반 단백질 (소고기, 연어, 닭고기, 계란 등)"", ""유청 단백질 미포함 (No Whey)"", ""복합 탄수화물 함유 (귀리, 고구마 등)"", ""MCT 오일 함유"" ]",,
ALLRIGHT_SIGNAL_SOURAPPLE,ALLRIGHT,주원료,인트라워크아웃,당/아미노산,파우더,21.85,g,40,55,1.5,11,null,null,null,null,null,"[ { ""ingredient"": ""Cyclic Dextrin"", ""amount"": 10000, ""unit"": ""mg"" }, { ""ingredient"": ""Creatine Monohydrate"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""Whey Protein Hydrolysate"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""L-Glutamine"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""L-Leucine"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""Taurine"", ""amount"": 1000, ""unit"": ""mg"" }, { ""ingredient"": ""Calcium β-Hydroxy-β-Methylbutyrate (as myHMB®)"", ""amount"": 750, ""unit"": ""mg"" }, { ""ingredient"": ""L-Arginine HCl"", ""amount"": 500, ""unit"": ""mg"" }, { ""ingredient"": ""Adenosine 5'-Triphosphate Disodium (ATP) (as PEAK ATP®)"", ""amount"": 200, ""unit"": ""mg"" }, { ""ingredient"": ""Mediator® (50% Phosphatidic Acid)"", ""amount"": 150, ""unit"": ""mg"" } ]",['운동 중'],올라잇 시그널 E 사워애플,"[ ""과일맛"", ""새콤한 맛"", ""사과맛"" ]","[ ""근회복"", ""에너지부스팅"", ""근성장 지원"", ""집중력 향상"" ]","[ ""필수 아미노산(EAA) 8g 함유"", ""천연 카페인 150mg 함유"", ""타우린 함유"", ""비타민 B군 함유"", ""무설탕"" ]",null,
ANIMAL_JUICEDAMINO_ORANGEJUICE,ANIMAL,주원료,인트라워크아웃,당/아미노산,파우더,12.29,g,30,null,null,null,null,null,null,null,null,"[ { ""ingredient"": ""Anabolic BCAA & EAA Matrix"", ""amount"": 6000, ""unit"": ""mg"", ""details"": { ""Instant BCAA Blend"": [ ""Leucine"", ""Isoleucine"", ""Valine"" ], ""Other Amino Acids"": [ ""Lysine HCl"", ""Arginine HCl"", ""Methionine"", ""Phenylalanine"", ""Threonine"", ""Histidine"" ] } }, { ""ingredient"": ""Juiced AA Performance Blend with Sustamine™"", ""amount"": 4000, ""unit"": ""mg"", ""details"": [ ""L-Taurine"", ""Citrulline Malate"", ""L-Glutamine"", ""L-Carnitine Tartrate"", ""Betaine Anhydrous"", ""L-Alanyl-L-Glutamine"" ] } ]",['운동 중'],애니멀 쥬스드 아미노 오렌지주스,"[ ""과일맛"", ""상큼한 맛"", ""오렌지주스맛"" ]","[ ""근회복"", ""근성장 지원"", ""운동수행능력 향상"" ]","[ ""BCAA 함유"", ""EAA 함유"", ""L-글루타민 함유"", ""L-타우린 함유"" ]","[ ""우유"", ""대두"", ""계란"", ""땅콩"", ""견과류"", ""생선"", ""조개류"", ""밀"" ]",
EXTREME_BCAA_TAURINE,익스트림,주원료,인트라워크아웃,BCAA,파우더,10,g,30,39,3.5,6,null,null,null,null,null,"[ { ""ingredient"": ""BCAA (L-로이신, L-이소류신, L-발린)"", ""amount"": 3000, ""unit"": ""mg"", ""details"": ""2:1:1 황금비율"" }, { ""ingredient"": ""L-아르기닌"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""타우린"", ""amount"": 1000, ""unit"": ""mg"" }, { ""ingredient"": ""L-글루타민"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""L-로이신"", ""amount"": 1500, ""unit"": ""mg"" }, { ""ingredient"": ""L-이소류신"", ""amount"": 750, ""unit"": ""mg"" }, { ""ingredient"": ""L-발린"", ""amount"": 750, ""unit"": ""mg"" } ]",['운동 중'],익스트림 옵티마 BCAA 타우린,"[ ""과일맛"", ""상큼한 맛"", ""레몬맛"" ]","[ ""근회복"", ""근피로 감소"", ""운동수행능력 향상"" ]","[ ""BCAA 6,000mg 함유 (2:1:1 비율)"", ""타우린 1,000mg 함유"", ""비타민 및 미네랄 11종 함유"", ""보존료 무첨가"" ]",null,
GASPARI_PROVEN_BLUEBERRYACAI,Gaspari Nutrition,주원료,인트라워크아웃,EAA,파우더,13,g,30,40,9,null,null,null,null,null,null,"[ { ""ingredient"": ""Instant Vegan Fermented BCAA 4:1:1"", ""amount"": 6, ""unit"": ""g"", ""details"": { ""Vegan Leucine"": { ""amount"": 4000, ""unit"": ""mg"" }, ""Vegan Isoleucine"": { ""amount"": 1000, ""unit"": ""mg"" }, ""Vegan Valine"": { ""amount"": 1000, ""unit"": ""mg"" } } }, { ""ingredient"": ""EAA (Essential Amino Acids) Blend"", ""amount"": 3, ""unit"": ""g"", ""details"": { ""L-Lysine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Threonine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Methionine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Phenylalanine"": { ""amount"": 500, ""unit"": ""mg"" }, ""L-Tryptophan"": { ""amount"": 125, ""unit"": ""mg"" }, ""L-Histidine"": { ""amount"": 125, ""unit"": ""mg"" } } }, { ""ingredient"": ""Electrolyte Blend"", ""amount"": 600, ""unit"": ""mg"", ""details"": [ ""Sodium (Himalayan pink salt)"", ""Potassium (Potassium Citrate & Himalayan pink salt)"", ""Magnesium (Magnesium Citrate & Himalayan pink salt)"", ""Calcium (Dicalcium Phosphate)"" ] } ]",['운동 중'],프로븐 EAA 블루베리아사이,"[ ""과일맛"", ""상큼한 맛"", ""블루베리맛"", ""아사이베리맛"" ]","[ ""근회복"", ""근성장 지원"", ""수분 보충"" ]","[ ""필수 아미노산(EAA) 9g 함유"", ""BCAA 6g 함유 (4:1:1 비율)"", ""전해질 함유 (히말라야 핑크 솔트)"", ""비건 발효 아미노산"", ""무설탕"" ]",null,
GASPARI_PROVEN_GUAVANECTARINGE,Gaspari Nutrition,주원료,인트라워크아웃,EAA,파우더,13,g,30,40,9,null,null,null,null,null,null,"[ { ""ingredient"": ""Instant Vegan Fermented BCAA 4:1:1"", ""amount"": 6, ""unit"": ""g"", ""details"": { ""Vegan Leucine"": { ""amount"": 4000, ""unit"": ""mg"" }, ""Vegan Isoleucine"": { ""amount"": 1000, ""unit"": ""mg"" }, ""Vegan Valine"": { ""amount"": 1000, ""unit"": ""mg"" } } }, { ""ingredient"": ""EAA (Essential Amino Acids) Blend"", ""amount"": 3, ""unit"": ""g"", ""details"": { ""L-Lysine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Threonine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Methionine"": { ""amount"": 750, ""unit"": ""mg"" }, ""L-Phenylalanine"": { ""amount"": 500, ""unit"": ""mg"" }, ""L-Tryptophan"": { ""amount"": 125, ""unit"": ""mg"" }, ""L-Histidine"": { ""amount"": 125, ""unit"": ""mg"" } } }, { ""ingredient"": ""Electrolyte Blend"", ""amount"": 600, ""unit"": ""mg"", ""details"": [ ""Sodium (Himalayan pink salt)"", ""Potassium (Potassium Citrate & Himalayan pink salt)"", ""Magnesium (Magnesium Citrate & Himalayan pink salt)"", ""Calcium (Dicalcium Phosphate)"" ] } ]",['운동 중'],프로븐 EAA 구아바넥타린,"[ ""과일맛"", ""새콤달콤한 맛"", ""구아바맛"", ""넥타린맛"" ]","[ ""근회복"", ""근성장 지원"", ""수분 보충"" ]","[ ""필수 아미노산(EAA) 9g 함유"", ""BCAA 6g 함유 (4:1:1 비율)"", ""전해질 함유 (히말라야 핑크 솔트)"", ""비건 발효 아미노산"", ""무설탕"" ]",null,
